,datetime,open,high,low,close,volume
0,2022-01-11,41301.89,43100,41158.99,42667.95,38354.97967
1,2022-01-12,42667.94,44078.4,42450,43799.49,33681.85906
2,2022-01-13,43797.33,44500,42565.01,42903.55,34203.46056
3,2022-01-14,42903.55,43347.42,41725.95,42862.13,34633.65439
4,2022-01-15,42862.14,43564.15,42555,43284.35,21163.76184
5,2022-01-16,43284.35,43800,42581.79,43031,22222.94
6,2022-01-17,43030.99,43263.15,41822.74,41969.2,24793.8791
7,2022-01-18,41969.21,42436.66,41250,41444.04,29893.8317
8,2022-01-19,41444.04,42691,41138.56,42007.28,32890.18054
9,2022-01-20,42007.28,43505,41548,42945.59,29834.29059
10,2022-01-21,42945.58,43241.38,37710,38183.16,76571.888365
11,2022-01-22,38183.16,38500,34008,34490.41,108573.015905
12,2022-01-23,34490.41,36150.76,34286.53,35124.35,43178.86831
13,2022-01-24,35124.36,36499,32917.17,35760.91,86328.525061
14,2022-01-25,35760.91,37550,35652.04,37421.34,58743.6684
15,2022-01-26,37421.33,38499,36421.56,37794.95,51249.73209
16,2022-01-27,37794.96,38919.98,35507.01,36040.04,66948.75221
17,2022-01-28,36040.04,37500,35538.75,36899.98,47669.44808
18,2022-01-29,36899.99,38198.82,36765.05,37637.28,26329.82613
19,2022-01-30,37637.28,38720.74,37556.56,37930.83,22348.651
20,2022-01-31,37930.84,38600,36632.61,38370.01,36473.11174
21,2022-02-01,38370.01,39265.2,38000,38841.99,36060.26312
22,2022-02-02,38841.99,38900,37066.66,37428.45,31378.30256
23,2022-02-03,37428.45,37674.34,36250,36714.27,34884.5608
24,2022-02-04,36714.28,40662.01,36270,40414.18,59972.6485
25,2022-02-05,40414.17,41913.69,40300.18,41674.78,40536.73139
26,2022-02-06,41674.77,42168,41116.56,41528.32,19231.23915
27,2022-02-07,41529.39,44500.5,41426.6,44037.21,48094.92061
28,2022-02-08,44037.2,45492,42666,43148.01,64022.43834
29,2022-02-09,43148.02,44471.4,42700,43977.01,37969.53945
30,2022-02-10,43977,45821,43174.01,44950.95,57626.63772
31,2022-02-11,44950.96,45254.95,42600,43340.48,42210.79658
32,2022-02-12,43340.48,43358.75,41688.88,42829.36,35501.6727
33,2022-02-13,42829.37,42897.2,41700,42291.2,18440.68934
34,2022-02-14,42291.19,42842.4,41550.56,42497.79,30555.76976
35,2022-02-15,42497.8,44500,41803.17,44149.29,40365.14457
36,2022-02-16,44149.28,44751.4,43307,43674.65,27848.18373
37,2022-02-17,43674.65,44376.58,40750.02,40975.51,42314.19118
38,2022-02-18,40975.5,41308.83,39450,39961.64,50088.69034
39,2022-02-19,39961.63,40444.32,39639.03,40057.85,20793.0926
40,2022-02-20,40057.86,40203.88,38000,38308.09,30345.38947
41,2022-02-21,38308.09,39494.35,37213.63,37648.88,49999.13284
42,2022-02-22,37648.89,38513.02,36350,37612.73,63108.88986
43,2022-02-23,37612.73,39249.93,37528.33,37738.94,42261.9969
44,2022-02-24,37738.94,37957.12,34322.28,35807.41,103138.72768
45,2022-02-25,35807.41,39843,35803.14,38769.21,75547.29506
46,2022-02-26,38769.21,40348.45,38537.91,38940.49,32258.95849
47,2022-02-27,38940.48,39855.7,38189.19,39060.9,33060.65324
48,2022-02-28,39060.9,41463.41,37000,41170.1,71608.35587
49,2022-03-01,41170.11,44949,41009.28,43520.37,73971.00295
50,2022-03-02,43520.37,45400,43334.09,43822.41,59191.07764
51,2022-03-03,43822.42,44380,42055.64,42402.92,49470.48583
52,2022-03-04,42402.93,42703.65,40414.24,40767.27,53628.98095
53,2022-03-05,40767.26,40837.85,38407.59,39294.67,43293.51149
54,2022-03-06,39294.67,39693.87,38088.57,39069.76,33699.26505
55,2022-03-07,39069.76,39547.57,37578.03,37996.06,56787.22383
56,2022-03-08,37996.05,39362.08,37155,38981.37,64968.23328
57,2022-03-09,38981.37,42594.06,38388.73,42094.12,66398.82951
58,2022-03-10,42094.11,42320,38539.73,39044.91,73776.56982
59,2022-03-11,39044.9,40236.26,38223.6,38848.32,57850.16074
60,2022-03-12,38848.33,39486.71,38308.83,39115.59,28753.78859
61,2022-03-13,39115.59,39310,38370,38900.38,25717.56867
62,2022-03-14,38900.37,39299.98,37555,38495.05,46504.54038
63,2022-03-15,38494.99,39947.12,38098.33,39216.44,45991.49747
64,2022-03-16,39216.44,41718,38828.48,39726.51,80913.43493
